time,open,high,low,close,green,red,sell,buy
2023-01-23 02:30:00,160.516,160.684,160.515,160.662,55.046459475943784,36.803932253035555,True,False
2023-01-23 05:15:00,160.66,160.755,160.578,160.753,78.98048183551663,51.193799230821895,True,False
2023-01-23 06:45:00,161.053,161.068,160.941,161.009,79.3030015851661,88.58087720624934,False,True
2023-01-23 07:30:00,161.166,161.28,161.082,161.216,84.67460411366552,79.88269800897199,True,False
2023-01-23 08:30:00,161.348,161.532,161.305,161.516,90.98454637706963,85.59118677697559,True,False
2023-01-23 11:15:00,161.139,161.191,161.112,161.17,35.93721278304197,22.448740416091493,True,False
2023-01-23 12:15:00,160.763,161.042,160.756,160.98,31.33088602296014,49.69384748766112,False,True
2023-01-23 14:30:00,160.997,161.141,160.982,161.096,70.10936519223158,79.02407030753899,False,True
2023-01-23 18:00:00,161.564,161.682,161.494,161.564,79.05844426977579,68.84745238910806,True,False
2023-01-23 19:15:00,161.593,161.633,161.546,161.551,50.69718836290057,68.09701292247487,False,True
2023-01-23 20:15:00,161.651,161.691,161.604,161.684,71.90761121202515,48.1051207304015,True,False
2023-01-23 21:00:00,161.636,161.657,161.59,161.653,49.868189819211274,66.65957449040003,False,True
2023-01-24 00:00:00,161.689,161.724,161.598,161.676,73.40877120876443,85.13622469326798,False,True
2023-01-24 02:00:00,161.655,161.766,161.609,161.62,52.229888135821106,36.87273147173726,True,False
2023-01-24 02:30:00,161.518,161.52,161.308,161.34,22.920692318859086,39.83017266115857,False,True
2023-01-24 03:15:00,161.365,161.457,161.347,161.435,35.645445083844635,24.602934727992857,True,False
2023-01-24 04:30:00,161.449,161.582,161.448,161.551,68.31839043654522,55.94044002937318,True,False
2023-01-24 07:00:00,161.34,161.4,161.322,161.327,38.8343945390951,26.940186764304134,True,False
2023-01-24 07:45:00,161.203,161.271,161.167,161.199,23.59193863693129,35.832502922642306,False,True
2023-01-24 08:30:00,161.285,161.351,161.239,161.348,62.73886943315449,37.05224134914985,True,False
2023-01-24 09:30:00,161.154,161.165,160.933,161.001,25.88219587151599,44.88101603438026,False,True
2023-01-24 10:15:00,161.123,161.306,161.077,161.264,54.455405350545846,34.3538040393764,True,False
2023-01-24 14:15:00,160.249,160.317,160.225,160.267,26.927116820086866,49.88369613624018,False,True
2023-01-24 18:45:00,160.217,160.322,160.195,160.272,27.815709617180108,16.512581790888976,True,False
2023-01-24 20:15:00,160.382,160.455,160.365,160.413,68.82363132363122,55.052302424915304,True,False
2023-01-24 22:00:00,160.438,160.446,160.379,160.414,88.49268314955837,77.0721213300834,True,False
2023-01-25 00:00:00,160.427,160.482,160.407,160.453,54.81924537161327,73.33030298774035,False,True
2023-01-25 01:45:00,160.504,160.574,160.499,160.564,69.92105238743999,45.312667179989916,True,False
